N [I]Compares Swaps Time [M]Compares Swaps Time [Q]Compares Swaps Time [C]Compares Swaps Time [H]Compares Swwaps Time
100 246425 256326 1e-05 67206 67206 2e-05 64509 39634 1e-05 88901 36672 0 61359 45199 0 
200 998796 1018698 3e-05 154415 154415 7e-05 156245 89628 1e-05 215806 84477 0 149858 100578 1e-05 
300 2243042 2272945 8e-05 248824 248824 6e-05 259220 151285 3e-05 349353 136888 0 249750 167883 0 
400 3996840 4036744 0.00013 348834 348834 0.00011 367135 210421 4e-05 502261 190214 6e-05 354427 232655 3e-05 
500 6226528 6276433 0.00028 448844 448844 0.00015 478966 274090 5e-05 661094 248909 4e-05 462568 301298 3e-05 
600 9026805 9086711 0.00064 557655 557655 0.00029 603216 343517 3e-05 822848 307757 6e-05 584028 376084 5e-05 
700 12226658 12296565 0.0008 667666 667666 0.00017 718342 405491 9e-05 981160 371180 5e-05 696158 443491 6e-05 
800 15929193 16009101 0.00072 777677 777677 0.00016 844728 474113 6e-05 1159346 426616 4e-05 818987 517241 8e-05 
900 20301732 20391641 0.00099 887688 887688 0.00023 964016 546071 5e-05 1315632 492380 6e-05 934596 594304 7e-05 
1000 25008912 25108822 0.00115 997699 997699 0.00021 1102271 616745 1e-05 1487174 550366 6e-05 1068873 668659 0.00011 
1100 30168542 30278453 0.00136 1115311 1115311 0.00023 1236654 694705 9e-05 1684934 612521 4e-05 1200481 752187 0.00013 
1200 36055265 36175177 0.00159 1235323 1235323 0.00032 1357308 768530 0.00012 1841303 671459 8e-05 1317221 830172 7e-05 
1300 42042234 42172147 0.00221 1355335 1355335 0.00033 1497528 845353 9e-05 2031474 741757 0.0001 1453964 912373 6e-05 
1400 49005264 49145178 0.00216 1475347 1475347 0.00031 1627599 911853 0.0001 2228204 804635 0.00013 1579703 982540 9e-05 
1500 56295532 56445447 0.00232 1595359 1595359 0.00031 1777979 1006848 0.00013 2381562 873761 0.00011 1727577 1083381 7e-05 
1600 63893882 64053798 0.00338 1715371 1715371 0.00029 1893902 1060927 0.00017 2581737 944322 0.00018 1839589 1141784 0.00013 
1700 72208336 72378253 0.00371 1835383 1835383 0.00045 2053524 1154886 0.00013 2776207 1000745 8e-05 1994404 1238982 0.00011 
1800 80806361 80986279 0.00356 1955395 1955395 0.00038 2194184 1226868 0.00012 2981393 1080193 0.00013 2131397 1314661 0.00016 
1900 90205886 90395805 0.00427 2075407 2075407 0.00044 2310043 1292556 0.00017 3180341 1158262 9e-05 2244567 1386496 0.00012 
2000 99919199 100119119 0.00454 2195419 2195419 0.00053 2487251 1396737 0.00014 3396965 1209157 0.00012 2418282 1495229 0.00011 
2100 110213659 110423580 0.00477 2320632 2320632 0.0005 2599708 1459598 0.00013 3537821 1274280 0.00012 2527189 1563381 0.00015 
2200 120747230 120967152 0.0059 2450645 2450645 0.00044 2772555 1537623 0.00016 3789555 1355625 0.00022 2695562 1644800 0.0002 
2300 132242197 132472120 0.00573 2580658 2580658 0.00053 2942803 1615583 0.00011 3943197 1408041 0.00018 2862905 1727886 0.00016 
2400 144096417 144336341 0.00683 2710671 2710671 0.00055 3059744 1724588 0.00016 4168385 1487549 0.00025 2975322 1839595 8e-05 
2500 156372893 156622818 0.00745 2840684 2840684 0.00062 3218888 1804819 0.00014 4359080 1550360 0.0002 3130389 1923111 0.00018 
2600 169123615 169383541 0.01093 2970697 2970697 0.00078 3342763 1859837 0.00028 4579404 1637432 0.00022 3249442 1982631 0.00029 
2700 181795150 182065077 0.01028 3100710 3100710 0.00083 3495130 1947962 0.00013 4759084 1703657 0.00026 3399033 2075674 0.00028 
2800 196074146 196354074 0.01432 3230723 3230723 0.00091 3651310 2053063 0.00025 4997701 1770083 0.00041 3549379 2181212 0.00026 
2900 210334708 210624637 0.00794 3360736 3360736 0.00057 3781290 2078245 0.00011 5182052 1829849 0.0002 3676783 2212078 0.00028 
3000 224350878 224650808 0.01023 3490749 3490749 0.00051 3973673 2210703 0.00025 5377347 1911089 0.00023 3863990 2347141 0.00026 
3100 240430161 240740092 0.009 3620762 3620762 0.0005 4113524 2316371 0.00023 5598243 1995263 0.0002 3999854 2456733 0.00018 
3200 256300085 256620017 0.00978 3750775 3750775 0.00055 4281554 2387521 0.00026 5791790 2065506 0.00021 4162702 2529071 0.00021 
3300 272152794 272482727 0.01027 3880788 3880788 0.00054 4381272 2443853 0.00017 5999739 2120543 0.0003 4257892 2589859 0.00026 
3400 288872716 289212650 0.01101 4010801 4010801 0.00068 4579481 2548950 0.00017 6232871 2183693 0.00022 4455207 2702194 0.00024 
3500 306086854 306436789 0.01247 4140814 4140814 0.00062 4767919 2676528 0.00028 6428919 2265125 0.00025 4636419 2829580 0.00028 
3600 324152831 324512767 0.01441 4270827 4270827 0.00079 4868096 2707183 0.00028 6630022 2326623 0.00031 4733503 2864927 0.00027 
3700 341454356 341824293 0.01565 4400840 4400840 0.00089 5026335 2812419 0.00022 6804736 2413824 0.00036 4886800 2971985 0.00031 
3800 360879932 361259870 0.01555 4530853 4530853 0.00079 5173158 2870401 0.00028 7082388 2537557 0.00033 5028371 3032612 0.00031 
3900 379756729 380146668 0.01704 4660866 4660866 0.00102 5319539 2953294 0.00029 7277308 2573822 0.00031 5171970 3121022 0.00022 
4000 399534671 399934611 0.01804 4790879 4790879 0.00084 5493783 3074427 0.0003 7489133 2654673 0.00033 5341582 3242799 0.00035 
4100 420301237 420711178 0.03025 4921292 4921292 0.00141 5653763 3164956 0.00044 7662380 2702684 0.00045 5495397 3335259 0.00043 
4200 441526247 441946189 0.0279 5061306 5061306 0.00132 5845249 3253197 0.00033 8008927 2793764 0.00045 5682808 3427957 0.00047 
4300 462254986 462684929 0.02857 5201320 5201320 0.00131 5957835 3306890 0.00048 8103447 2858706 0.00042 5791374 3483862 0.00048 
4400 484193007 484632951 0.02327 5341334 5341334 0.00106 6166350 3422990 0.00035 8327441 2949446 0.00037 5994299 3602785 0.00041 
4500 505758783 506208728 0.02069 5481348 5481348 0.00086 6258976 3485012 0.00035 8609678 3039837 0.0004 6081936 3665939 0.00025 
4600 529021184 529481130 0.02091 5621362 5621362 0.00085 6490920 3570960 0.00026 8778465 3082555 0.00041 6310857 3756238 0.00034 
4700 551792899 552262846 0.02294 5761376 5761376 0.00086 6590361 3701033 0.00042 9006024 3140094 0.00032 6404703 3887990 0.00034 
4800 575412149 575892097 0.02265 5901390 5901390 0.00094 6781728 3787980 0.00033 9251991 3235278 0.00041 6591143 3978912 0.00026 
4900 599012168 599502117 0.02307 6041404 6041404 0.00092 6978570 3900273 0.00029 9478897 3307297 0.00036 6783262 4093068 0.00041 
5000 624513129 625013079 0.02449 6181418 6181418 0.00095 7106731 3952076 0.00029 9662268 3387142 0.00043 6906364 4146383 0.00036 
5100 651499863 652009814 0.02572 6321432 6321432 0.00091 7193014 3972754 0.00036 9846951 3477121 0.00043 6986565 4166687 0.00035 
5200 676479591 676999543 0.02621 6461446 6461446 0.00096 7421620 4132996 0.0003 10145071 3577595 0.00047 7211594 4332237 0.00033 
5300 702450916 702980869 0.02712 6601460 6601460 0.00097 7577550 4181449 0.00037 10319090 3587299 0.00039 7361955 4380970 0.00042 
5400 729376678 729916632 0.03483 6741474 6741474 0.00117 7715431 4314869 0.00047 10535497 3690081 0.00041 7495529 4517763 0.00043 
5500 756992996 757542951 0.03468 6881488 6881488 0.00121 7870355 4391326 0.00043 10793164 3752077 0.00044 7645640 4596519 0.00041 
5600 783432476 783992432 0.03069 7021502 7021502 0.00102 8099183 4541988 0.00042 11002206 3842390 0.00047 7866769 4744687 0.00043 
5700 812309900 812879857 0.03146 7161516 7161516 0.00103 8284609 4594026 0.00036 11262785 3926792 0.00051 8046603 4798728 0.00035 
5800 839828443 840408401 0.03397 7301530 7301530 0.00105 8419938 4693802 0.00047 11551523 4029920 0.00042 8177830 4901106 0.0004 
5900 870215053 870805012 0.03387 7441544 7441544 0.00116 8572593 4688836 0.00043 11646792 4031095 0.00039 8326211 4898330 0.00044 
6000 898575038 899174998 0.03541 7581558 7581558 0.00113 8716167 4896176 0.00042 11934664 4172297 0.00055 8462928 5105910 0.00034 
6100 931196091 931806052 0.03736 7721572 7721572 0.00112 8943322 4956057 0.00042 12037001 4229945 0.00054 8684382 5167077 0.00038 
6200 958788281 959408243 0.03676 7861586 7861586 0.00112 9109738 5037090 0.00048 12407350 4267634 0.00047 8844992 5248510 0.00049 
6300 992539375 993169338 0.03869 8001600 8001600 0.00116 9261960 5200857 0.0005 12572251 4374702 0.00044 8991283 5413333 0.00046 
6400 1024282630 1024922594 0.03959 8141614 8141614 0.00121 9368606 5218712 0.0005 12769098 4482424 0.0005 9094418 5434742 0.00049 
6500 1057963493 1058613458 0.04095 8281628 8281628 0.00118 9570796 5275972 0.00053 13030733 4538230 0.00046 9292417 5493154 0.00048 
6600 1088125868 1088785834 0.0416 8421642 8421642 0.00116 9702450 5386737 0.00049 13292208 4640933 0.00051 9417942 5606049 0.0005 
6700 1122906195 1123576162 0.04301 8561656 8561656 0.0013 9914886 5497406 0.00048 13484561 4711370 0.0005 9624787 5717626 0.0005 
6800 1154657723 1155337691 0.04494 8701670 8701670 0.00117 10015043 5598964 0.00069 13781043 4816291 0.00035 9719661 5820027 0.00064 
6900 1188784995 1189474964 0.04724 8841684 8841684 0.00131 10303617 5732358 0.00048 13986129 4878863 0.00055 10001991 5953682 0.0005 
7000 1222815027 1223514997 0.05071 8981698 8981698 0.00138 10442578 5831428 0.00051 14173948 4914915 0.00058 10133298 6051176 0.00051 
7100 1259858832 1260568803 0.0491 9121712 9121712 0.00129 10605549 5899827 0.00055 14444376 4978746 0.00054 10289397 6117937 0.00052 
7200 1297184064 1297904036 0.0505 9261726 9261726 0.00124 10717884 5979386 0.00058 14616371 5093160 0.00051 10398482 6202931 0.00059 
7300 1331467310 1332197283 0.05235 9401740 9401740 0.00126 10866546 6084115 0.00064 14891675 5143858 0.00057 10541145 6306427 0.00061 
7400 1368742822 1369482796 0.05249 9541754 9541754 0.00147 11093547 6226777 0.00045 15157533 5252230 0.00066 10761928 6449231 0.00049 
7500 1403811442 1404561417 0.0549 9681768 9681768 0.00141 11243464 6271295 0.00058 15372710 5322108 0.00057 10904589 6490812 0.00053 
7600 1445206768 1445966744 0.05614 9821782 9821782 0.00137 11474877 6376566 0.00056 15555638 5372490 0.0006 11129946 6598499 0.00061 
7700 1482486606 1483256583 0.05681 9961796 9961796 0.00146 11562219 6469908 0.00055 15769012 5475937 0.0006 11212588 6694473 0.0005 
7800 1522184256 1522964234 0.05829 10101810 10101810 0.00135 11821330 6581987 0.0006 16086657 5598994 0.00061 11466411 6806080 0.00061 
7900 1557539156 1558329135 0.0596 10241824 10241824 0.00152 11902057 6654177 0.00054 16366887 5692620 0.00073 11540203 6876456 0.00047 
8000 1599864581 1600664561 0.06142 10381838 10381838 0.00144 12114113 6757409 0.00058 16625313 5741419 0.00071 11746124 6981665 0.00052 
8100 1641073074 1641883055 0.06509 10521852 10521852 0.00159 12299751 6916613 0.00064 16831319 5822521 0.00063 11925883 7139808 0.00062 
8200 1681397581 1682217563 0.06256 10662666 10662666 0.00144 12387976 6910610 0.0006 16963328 5895347 0.00067 12007692 7133499 0.00056 
8300 1722139837 1722969820 0.06486 10812681 10812681 0.00152 12679500 7103362 0.00059 17325815 6048533 0.00062 12294020 7328125 0.00065 
8400 1763647189 1764487173 0.06636 10962696 10962696 0.0015 12749724 7126917 0.00069 17336891 6051982 0.00061 12359208 7354220 0.00063 
8500 1806351861 1807201846 0.06678 11112711 11112711 0.00151 12948674 7117716 0.00062 17709514 6170111 0.00064 12549288 7336640 0.00065 
8600 1846252491 1847112477 0.06877 11262726 11262726 0.00154 13137685 7319901 0.00061 17947979 6200880 0.00067 12732161 7542027 0.00062 
8700 1890368829 1891238816 0.07183 11412741 11412741 0.00154 13283636 7465207 0.00068 18234372 6282328 0.00063 12870728 7685954 0.00066 
8800 1934662798 1935542786 0.0729 11562756 11562756 0.00161 13550862 7703911 0.00067 18352517 6364514 0.00071 13130246 7920944 0.00062 
8900 1979022739 1979912728 0.07429 11712771 11712771 0.00163 13835026 7676492 0.00065 18777768 6498010 0.0007 13407667 7893544 0.0007 
9000 2024034438 2024934428 0.07595 11862786 11862786 0.00166 13772669 7699227 0.00066 18909818 6526446 0.00077 13340849 7917445 0.0006 
9100 2067129387 2068039378 0.07782 12012801 12012801 0.00165 13999757 7849653 0.00068 19070981 6590340 0.00068 13562629 8068169 0.00072 
9200 2117360158 2118280150 0.08059 12162816 12162816 0.00158 14188067 7921852 0.00076 19299700 6622549 0.00074 13742447 8140145 0.00063 
9300 2162256216 2163186209 0.08187 12312831 12312831 0.00172 14270037 8048027 0.00075 19655654 6779017 0.00067 13817209 8261782 0.00072 
9400 2206535118 2207475112 0.08281 12462846 12462846 0.00165 14534686 8039969 0.00072 19807636 6854814 0.00075 14076298 8255392 0.0007 
9500 2255171326 2256121321 0.08456 12612861 12612861 0.00176 14698264 8120152 0.00072 20041060 6975709 0.00074 14234190 8335142 0.00072 
9600 2303457934 2304417930 0.08621 12762876 12762876 0.00171 14861905 8325905 0.00079 20278629 7056414 0.00069 14390147 8539292 0.00075 
9700 2351433471 2352403468 0.09097 12912891 12912891 0.00172 15100361 8436512 0.0008 20595457 7107117 0.00078 14621150 8647136 0.00074 
9800 2402066156 2403046154 0.08915 13062906 13062906 0.00177 15353536 8555989 0.00076 20823966 7168389 0.00076 14868477 8765783 0.00073 
9900 2447901014 2448891013 0.09168 13212921 13212921 0.00179 15515112 8667953 0.00076 21117026 7300922 0.00079 15018375 8870845 0.00075 
10000 2500473370 2501473370 0.0969 13362936 13362936 0.00184 15600729 8624859 0.00078 21317177 7357000 0.00078 15101512 8831824 0.0008 
