N [I]Compares Swaps Time [M]Compares Swaps Time [Q]Compares Swaps Time [C]Compares Swaps Time [H]Compares Swwaps Time
100 24761 25761 0.0003 6787 6787 0 6322 3923 0.0001 8802 3682 0 6038 4514 0 
200 100053 102063 0.0007 15594 15594 0.0002 16153 9260 0.0001 22300 8719 0 15532 10408 0.0001 
300 227877 230897 0.0016 25128 25128 0.0002 25775 14926 0.0003 34686 13401 0.0001 24878 16803 0.0002 
400 394655 398684 0.0029 35228 35228 0.0006 36534 21097 0.0003 50554 19189 0.0002 35031 23248 0.0004 
500 634679 639719 0.0045 45328 45328 0.0006 47511 26305 0.0005 66867 25975 0.0003 45954 29003 0.0002 
600 920147 926196 0.0063 56317 56317 0.0009 59806 33735 0.0006 81900 31024 0.0003 57805 37025 0.0004 
700 1250959 1258019 0.008 67427 67427 0.0007 74095 40736 0.0006 101833 38390 0.0003 71827 44598 0.0006 
800 1613476 1621546 0.0104 78537 78537 0.0008 87671 48549 0.0007 115894 41755 0.0002 84861 52576 0.0008 
900 2048770 2057850 0.0124 89647 89647 0.0011 96387 54525 0.0009 135988 49449 0.0001 93540 59611 0.001 
1000 2517839 2527929 0.0163 100757 100757 0.001 110715 60558 0.0011 147600 55424 0.0002 107561 65997 0.0009 
1100 3045095 3056195 0.042 112635 112635 0.0022 124793 68623 0.0027 167792 62050 0.0005 120998 74356 0.0022 
1200 3647079 3659189 0.0416 124755 124755 0.0021 138510 78538 0.0027 184853 66992 0.0005 134562 85117 0.0023 
1300 4293875 4306995 0.0339 136875 136875 0.0018 151573 87328 0.0021 208312 76755 0.0002 147194 94275 0.0014 
1400 4949338 4963467 0.0325 148995 148995 0.0017 160876 91114 0.0013 221814 81840 0.0006 156050 98183 0.0013 
1500 5712795 5727935 0.0339 161115 161115 0.0017 180361 103492 0.0018 251878 92080 0.0002 175319 111165 0.0018 
1600 6525190 6541340 0.0399 173235 173235 0.002 193666 105921 0.0015 262433 96163 0.0007 187975 113788 0.0017 
1700 7277867 7295027 0.043 185355 185355 0.002 215807 120365 0.0018 299287 105536 0.0005 210183 129018 0.0016 
1800 8140083 8158253 0.0491 197475 197475 0.0021 222874 125662 0.002 306589 110729 0.0004 216694 134894 0.002 
1900 9060668 9079848 0.0549 209595 209595 0.002 235555 135645 0.0021 322364 114429 0.0006 228701 145022 0.002 
2000 10027415 10047605 0.0628 221715 221715 0.0023 251074 136977 0.0021 342671 119365 0.0007 244044 146812 0.0023 
2100 11084194 11105394 0.0658 234360 234360 0.0026 260715 146935 0.0022 355474 130355 0.0006 253335 157200 0.0022 
2200 12194298 12216508 0.0718 247490 247490 0.0025 273883 148863 0.0023 371984 131007 0.0007 266238 159520 0.0021 
2300 13350375 13373595 0.0803 260620 260620 0.0028 295317 161650 0.0024 404094 144490 0.0008 287397 173109 0.0026 
2400 14578595 14602825 0.0864 273750 273750 0.0029 308692 174968 0.0025 420970 148623 0.0007 299844 186352 0.0024 
2500 15945802 15971042 0.0942 286880 286880 0.0027 325304 176376 0.0028 434334 156160 0.001 316541 188423 0.0023 
2600 17000094 17026344 0.1045 300010 300010 0.0033 339202 181764 0.003 467142 169133 0.001 329905 194336 0.0033 
2700 18376449 18403709 0.1316 313140 313140 0.004 346654 191656 0.0034 483756 177460 0.001 337083 204825 0.0033 
2800 19524090 19552360 0.1195 326270 326270 0.0034 366037 200726 0.0031 502139 179687 0.001 355997 214244 0.0028 
2900 21208957 21238237 0.1696 339400 339400 0.005 380269 214742 0.0046 524369 187026 0.0011 369637 227688 0.0042 
3000 22789347 22819637 0.2167 352530 352530 0.0062 396676 222786 0.0052 536845 192371 0.0019 385426 236184 0.006 
3100 24241669 24272969 0.1609 365660 365660 0.0044 411162 220465 0.0042 574203 194350 0.001 399654 234675 0.0032 
3200 25845379 25877689 0.175 378790 378790 0.0043 429469 237478 0.0043 582401 210350 0.0013 417864 252667 0.0038 
3300 27449303 27482623 0.183 391920 391920 0.0042 453056 260618 0.0042 619069 219605 0.0011 441037 275680 0.0044 
3400 29303425 29337755 0.2493 405050 405050 0.006 456482 257278 0.0053 620063 226752 0.0015 443611 272461 0.0068 
3500 30691893 30727233 0.1936 418180 418180 0.0047 468410 265415 0.0041 660356 233974 0.0012 455258 281114 0.0039 
3600 32869767 32906117 0.2151 431310 431310 0.0048 503842 279748 0.0049 677765 240349 0.0014 490100 295427 0.0051 
3700 34501516 34538875 0.3058 444440 444440 0.0062 507382 278652 0.0068 694199 246006 0.002 492801 294258 0.0054 
3800 36522221 36560591 0.2544 457570 457570 0.0061 522923 291409 0.0057 707314 248732 0.0015 508431 307561 0.0051 
3900 38466088 38505468 0.2875 470700 470700 0.0053 534061 300658 0.0055 717708 250056 0.0015 518701 317257 0.005 
4000 40308637 40349027 0.2649 483830 483830 0.0054 544945 301842 0.0048 758245 266465 0.0015 529732 319201 0.0047 
4100 42583074 42624474 0.2757 497000 497000 0.0057 568617 320041 0.0055 792615 271181 0.0013 552435 337228 0.0054 
4200 44471182 44513592 0.3796 511140 511140 0.0062 583880 320957 0.0061 788980 277622 0.0018 567679 338210 0.0052 
4300 46776506 46819926 0.3777 525280 525280 0.006 596417 328897 0.006 820046 295384 0.0019 579660 346912 0.0059 
4400 48807808 48852238 0.2992 539420 539420 0.0058 632251 350121 0.0057 850753 301952 0.0013 614667 367914 0.0053 
4500 51175694 51221134 0.3533 553560 553560 0.006 650061 363111 0.0061 850909 303271 0.0016 632107 381126 0.0056 
4600 53415261 53461711 0.4003 567700 567700 0.0066 663889 365714 0.0072 886689 311954 0.0016 645969 384901 0.0066 
4700 55915302 55962761 0.4599 581840 581840 0.0086 677429 378073 0.0082 924872 330681 0.0022 658766 397349 0.0072 
4800 58120229 58168699 0.3983 595980 595980 0.0064 690356 375168 0.0062 910579 329951 0.0019 670957 393732 0.0067 
4900 60530642 60580122 0.4735 610120 610120 0.0079 698531 398954 0.0082 964751 338932 0.0022 679321 419348 0.0083 
5000 62975028 63025518 0.4501 624260 624260 0.0068 720991 401978 0.0065 961118 344010 0.0021 700308 421530 0.0061 
5100 65673669 65725169 0.5954 638400 638400 0.0139 728369 413494 0.0122 1018973 349973 0.0025 707259 432790 0.0098 
5200 68622439 68674949 0.6847 652540 652540 0.0117 759658 424314 0.0095 1037234 366382 0.0022 738590 444600 0.0095 
